personId,name,countryId,All Events,Speed AVGs,BLD/FMC AVGs,WC Podium,World Record,Won All Events,Conteo
2006LECK01,Mimmi Leckius,Sweden,Yes,No (9/12),No (0/4),No,No,No (2/17),1
2008SHAN01,Siva Shanmukh Vetcha,India,Yes,No (10/12),No (1/4),No,No,No (1/17),1
2009MCWI01,Zachary McWilliams,USA,Yes,No (9/12),No (1/4),No,No,No (1/17),1
2012JEFF01,Billy Jeffs,United Kingdom,Yes,No (10/12),No (2/4),No,No,No (0/17),1
2012KROK01,Anton Krokhmal (Антон Крохмаль),Ukraine,Yes,No (11/12),No (2/4),No,No,No (5/17),1
2012PLAC01,Gianluca Placenti,Italy,Yes,No (8/12),No (2/4),No,No,No (4/17),1
2012SEET01,Nathan Seeto,Australia,Yes,No (9/12),No (2/4),No,No,No (4/17),1
2013BRAT01,Martin Brath,Germany,Yes,No (11/12),No (2/4),No,No,No (2/17),1
2013GARC08,Jesús Lindo García,Spain,Yes,No (9/12),No (3/4),No,No,No (4/17),1
2015CAMP17,Alexandre Henrique Afonso Campos,Brazil,Yes,No (8/12),No (2/4),No,No,No (5/17),1
2015CITT01,Marco Edoardo Cittar,Italy,Yes,No (9/12),No (3/4),No,No,No (3/17),1
2015FAUG01,Marike Faught,South Africa,Yes,No (11/12),No (2/4),No,No,No (0/17),1
2015JUNV01,Victor Tang Yao Jun (湯曜駿),Hong Kong,Yes,No (11/12),No (2/4),No,No,No (3/17),1
2015OHHA01,Ha Min Oh (오해민),Korea,Yes,No (10/12),No (1/4),No,No,No (2/17),1
2016BAIR01,Samuel Baird,USA,Yes,No (11/12),No (2/4),No,No,No (5/17),1
2016CHAN25,Theodore Chan,Singapore,Yes,No (11/12),No (2/4),No,No,No (3/17),1
2017MILL12,Alistair Miller,United Kingdom,Yes,No (11/12),No (2/4),No,No,No (1/17),1
2018AHMA02,Adam Ahmad,USA,Yes,No (10/12),No (1/4),No,No,No (1/17),1
2018CONN04,Edward Connell,Ireland,Yes,No (9/12),No (1/4),No,No,No (0/17),1
2018SOLN01,Andrei Solntsev,Estonia,Yes,No (10/12),No (2/4),No,No,No (4/17),1
2019CAMP10,Guilherme Santana Campos,Brazil,Yes,No (10/12),No (1/4),No,No,No (1/17),1
2020KARA01,David Karalli,USA,Yes,No (10/12),No (2/4),No,No,No (3/17),1
