personId,name,countryId,All Events,Speed AVGs,BLD/FMC AVGs,WC Podium,World Record,Won All Events,Conteo
2003POCH01,Stefan Pochmann,Germany,Yes,No (11/12),No (1/4),Yes,Yes,No (7/17),3
2005HSUA01,Anthony Hsu,USA,Yes,Yes,No (2/4),No,Yes,No (6/17),3
2005REYN01,Tim Reynolds,USA,Yes,Yes,No (2/4),Yes,No,No (12/17),3
2007HUGH01,Mike Hughey,USA,Yes,Yes,Yes,No,No,No (7/17),3
2007KRIS01,Tomas Kristiansson,Sweden,Yes,Yes,No (2/4),Yes,No,No (6/17),3
2007OOBA01,Kou Oobatake (大畠功),Japan,Yes,Yes,No (2/4),Yes,No,No (3/17),3
2007SUNT01,Timothy Sun,USA,Yes,Yes,No (2/4),Yes,No,No (15/17),3
2007YUNQ01,Yunqi Ouyang (欧阳韵奇),China,Yes,Yes,Yes,No,No,No (14/17),3
2008CLEM01,Kit Clement,USA,Yes,Yes,Yes,No,No,No (16/17),3
2008DONG06,Baiqiang Dong (董百强),China,Yes,Yes,No (2/4),No,Yes,No (7/17),3
2008JONG03,Jong-Ho Jeong (정종호),Korea,Yes,Yes,No (2/4),Yes,No,No (14/17),3
2008SMIT04,Maarten Smit,Netherlands,Yes,Yes,No (2/4),Yes,No,No (10/17),3
2008YUDA01,Yu Da-Hyun (유다현),Korea,Yes,Yes,No (3/4),No,Yes,No (6/17),3
2008ZHAN13,Hong Zhang (张宏),China,Yes,Yes,No (2/4),No,Yes,No (3/17),3
2009DIEC01,Cornelius Dieckmann,Germany,Yes,Yes,No (2/4),Yes,No,No (10/17),3
2009OKAY01,Tomoaki Okayama (岡山友昭),Japan,Yes,Yes,No (2/4),No,Yes,No (5/17),3
2009ROTA01,Marco Rota,Italy,Yes,Yes,No (2/4),No,Yes,No (8/17),3
2010BREC01,John Brechon,USA,Yes,Yes,No (2/4),No,Yes,No (16/17),3
2010KILD02,Wilhelm Kilders,Germany,Yes,Yes,No (2/4),Yes,No,No (8/17),3
2010ZHAO11,Jibo Zhao (赵吉波),China,Yes,Yes,No (2/4),No,Yes,No (6/17),3
2011FERA01,Joshua Feran,USA,Yes,Yes,Yes,No,No,No (16/17),3
2011FRES01,Linus Frész,Germany,Yes,Yes,No (2/4),Yes,No,No (5/17),3
2011GRIT01,Oleg Gritsenko,Russia,Yes,Yes,Yes,No,No,No (7/17),3
2011LINB01,Brandon Lin (林博浩),USA,Yes,Yes,No (2/4),No,Yes,No (4/17),3
2011RHEI01,Emanuel Rheinert,Germany,Yes,Yes,No (2/4),Yes,No,No (11/17),3
2012FROS01,Oliver Frost,United Kingdom,Yes,No (10/12),No (3/4),Yes,Yes,No (4/17),3
2012HALE01,Callum Hales-Jepp,United Kingdom,Yes,Yes,Yes,No,No,No (15/17),3
2012WESC01,Lucas Wesche,Germany,Yes,Yes,No (2/4),Yes,No,No (9/17),3
2012YANA01,Taku Yanai (矢内拓),Japan,Yes,Yes,No (2/4),Yes,No,No (6/17),3
2013DICK01,Matthew Dickman,USA,Yes,Yes,Yes,No,No,No (4/17),3
2013HUBH01,Hanns Hub,Germany,Yes,Yes,Yes,No,No,No (2/17),3
2013SAVA01,Harry Savage,United Kingdom,Yes,Yes,No (3/4),No,Yes,No (8/17),3
2014CHER05,Clément Cherblanc,France,Yes,Yes,No (2/4),No,No,Yes,3
2014DETU01,Eddy Deturche,France,Yes,Yes,Yes,No,No,No (10/17),3
2014GERB01,Henri Gerber,Germany,Yes,Yes,No (2/4),Yes,No,No (14/17),3
2014HANJ02,Jiachi Han (韩佳池),China,Yes,Yes,Yes,No,No,No (3/17),3
2014KOUL01,Sukant Koul,India,Yes,Yes,Yes,No,No,No (14/17),3
2014PETE03,Tobias Peter,Switzerland,Yes,Yes,No (3/4),No,No,Yes,3
2015BROW03,Elijah Brown,USA,Yes,Yes,No (3/4),No,Yes,No (8/17),3
2015CECC01,Vicenzo Guerino Cecchini,Brazil,Yes,Yes,No (2/4),No,Yes,No (15/17),3
2015FUSH01,Firstian Fushada (符逢城),Indonesia,Yes,Yes,No (3/4),Yes,No,No (16/17),3
2015HUAN48,Cary Huang,USA,Yes,Yes,Yes,No,No,No (4/17),3
2015KUCA01,Carter Kucala,USA,Yes,Yes,No (3/4),No,Yes,No (15/17),3
2015MACK06,Zeke Mackay,USA,Yes,Yes,Yes,No,No,No (12/17),3
2015ONOF01,Anuar Miguel Abib Onofre,Brazil,Yes,Yes,No (2/4),No,Yes,No (5/17),3
2015QUAN03,Ng Jia Quan (黄佳铨),Malaysia,Yes,Yes,Yes,No,No,No (10/17),3
2015SALO01,Álvaro Aguilar Salobreña,Spain,Yes,Yes,Yes,No,No,No (6/17),3
2016DURA09,Paweł Duraj,Poland,Yes,Yes,Yes,No,No,No (0/17),3
2016MART29,Artyom Martirosov,Russia,Yes,Yes,Yes,No,No,No (3/17),3
2016PILA03,Ryan Pilat,USA,Yes,Yes,No (2/4),No,No,Yes,3
2016THOR08,Elvin Thorsen,Sweden,Yes,Yes,No (2/4),Yes,No,No (7/17),3
2016WHIT16,Jason White,USA,Yes,Yes,Yes,No,No,No (7/17),3
2016XUWE02,Wenjie Xu (徐文杰),China,Yes,Yes,Yes,No,No,No (3/17),3
2016ZENK01,Viktor Zenk,Sweden,Yes,Yes,Yes,No,No,No (4/17),3
2017AGGA01,Sameer Aggarwal,USA,Yes,Yes,No (3/4),No,Yes,No (13/17),3
2017ASMU01,Thor Muto Asmund,Denmark,Yes,Yes,Yes,No,No,No (3/17),3
2017DEBS01,Adrian Dębski,Poland,Yes,Yes,Yes,No,No,No (4/17),3
2017HUGH04,Lennon Hughes,Australia,Yes,Yes,Yes,No,No,No (4/17),3
2017MAND13,Francisco Moraes Mandalozzo,Brazil,Yes,Yes,Yes,No,No,No (16/17),3
2017MEYS02,Cedric Meysing,Germany,Yes,Yes,Yes,No,No,No (1/17),3
2017WANY29,Yifan Wang (王逸帆),China,Yes,Yes,Yes,No,No,No (5/17),3
2018GONZ30,Julian Alejandro Forero Gonzalez,Colombia,Yes,Yes,Yes,No,No,No (6/17),3
2018KHAN26,Hassan Khanani,USA,Yes,Yes,No (3/4),No,Yes,No (4/17),3
2018SHEN07,Mengfei Shen (沈梦非),China,Yes,Yes,Yes,No,No,No (4/17),3
2018ZYNE01,Arkadiusz Żynel,Poland,Yes,Yes,Yes,No,No,No (0/17),3
2019ECKE02,Ryan Eckersley,United Kingdom,Yes,Yes,Yes,No,No,No (5/17),3
2019KOBE03,Elliott Kobelansky,Canada,Yes,No (10/12),Yes,No,Yes,No (4/17),3
2020MOCO01,Conan Mo,Australia,Yes,Yes,Yes,No,No,No (3/17),3
2021TRIP01,Michael Tripodi,Australia,Yes,Yes,Yes,No,No,No (4/17),3
2022WADH02,Ashwyn Wadhawan,United Kingdom,Yes,Yes,Yes,No,No,No (0/17),3
