personId,name,countryId,All Events,Speed AVGs,BLD/FMC AVGs,WC Podium,World Record,Won All Events,Conteo
2005AKKE01,Erik Akkersdijk,Netherlands,Yes,Yes,No (2/4),Yes,Yes,No (14/17),4
2005KOCZ01,István Kocza,Hungary,Yes,Yes,Yes,No,Yes,No (6/17),4
2006BUUS01,Henrik Buus Aagaard,Denmark,Yes,Yes,No (2/4),Yes,Yes,No (14/17),4
2006OOKU01,Takayuki Ookusa (大艸尊之),Japan,Yes,Yes,No (2/4),Yes,Yes,No (8/17),4
2006TABU02,Yumu Tabuchi (田渕雄夢),Japan,Yes,Yes,No (1/4),Yes,Yes,No (8/17),4
2007HESS01,Rowe Hessler,USA,Yes,Yes,No (2/4),Yes,Yes,No (13/17),4
2007NAKA03,Yu Nakajima (中島悠),Japan,Yes,Yes,No (2/4),Yes,Yes,No (13/17),4
2007OMUR01,Shuhei Omura (大村周平),Japan,Yes,Yes,No (2/4),Yes,Yes,No (8/17),4
2007WONG02,Tim Wong,USA,Yes,Yes,No (2/4),Yes,Yes,No (9/17),4
2008AURO01,Sébastien Auroux,Germany,Yes,Yes,No (2/4),Yes,Yes,No (15/17),4
2008TAKA01,Yuhei Takagi (高木佑平),Japan,Yes,Yes,No (2/4),Yes,Yes,No (10/17),4
2008WEST02,Simon Westlund,Sweden,Yes,Yes,No (2/4),Yes,Yes,No (15/17),4
2009OLSO01,Christopher Olson,USA,Yes,Yes,No (2/4),Yes,Yes,No (10/17),4
2009TIRA01,Javier Tirado Ortiz,Spain,Yes,Yes,No (2/4),Yes,Yes,No (8/17),4
2010CANT02,Antoine Cantin,Canada,Yes,Yes,No (2/4),Yes,Yes,No (15/17),4
2010CHAN20,Nevins Chan Pak Hoong (陈百鸿),Malaysia,Yes,Yes,Yes,No,Yes,No (4/17),4
2010UTOM01,Vincent Hartanto Utomo,Indonesia,Yes,Yes,Yes,No,No,Yes,4
2011KNOT01,Wojciech Knott,Poland,Yes,Yes,No (2/4),Yes,Yes,No (8/17),4
2011TRON02,Sebastiano Tronto,Italy,Yes,Yes,No (2/4),Yes,Yes,No (8/17),4
2012BUBE01,Reto Bubendorf,Switzerland,Yes,Yes,No (2/4),Yes,Yes,No (13/17),4
2013NELS01,Tom Nelson,New Zealand,Yes,Yes,Yes,Yes,No,No (6/17),4
2014SCHO02,Cale Schoon,USA,Yes,Yes,Yes,No,Yes,No (9/17),4
2014WENW01,Wong Chong Wen (黄崇文),Singapore,Yes,Yes,Yes,No,No,Yes,4
2015CHER07,Tommy Cherry,USA,Yes,Yes,Yes,No,Yes,No (15/17),4
2015EWER01,Helmer Ewert,Sweden,Yes,Yes,Yes,No,Yes,No (16/17),4
2015ROSE01,Daniel Rose-Levine,USA,Yes,Yes,No (2/4),Yes,Yes,No (11/17),4
2016HUNG08,Lim Hung (林弘),Malaysia,Yes,Yes,No (3/4),Yes,Yes,No (11/17),4
2016PRZY01,Kamil Przybylski,Poland,Yes,Yes,Yes,Yes,No,No (4/17),4
2016SIGG01,Graham Siggins,USA,Yes,Yes,No (3/4),Yes,Yes,No (5/17),4
2017FENG10,Hill Pong Yong Feng,Malaysia,Yes,Yes,Yes,No,Yes,No (7/17),4
2017GUTM01,Manuel Gutman,Argentina,Yes,Yes,Yes,Yes,No,No (6/17),4
2017KOLI01,Mohammed Aiman Koli,India,Yes,Yes,No (3/4),Yes,Yes,No (10/17),4
2017LOUY01,Yunhao Lou (娄云皓),China,Yes,Yes,No (2/4),Yes,Yes,No (3/17),4
2017SIAU02,Max Siauw,USA,Yes,Yes,Yes,No,Yes,No (16/17),4
