personId,name,countryId,All Events,Speed AVGs,BLD/FMC AVGs,WC Podium,World Record,Won All Events,Conteo
2007MINH01,Minhyun Kim (김민현),Korea,Yes,Yes,No (3/4),No,No,No (3/17),2
2007POLI01,Lorenzo Vigani Poli,Italy,Yes,Yes,No (2/4),No,No,No (10/17),2
2007SHIR01,Takuma Shirahase (白波瀬拓磨),Japan,Yes,Yes,No (3/4),No,No,No (2/17),2
2007VUNI01,Nick Vu,USA,Yes,Yes,No (2/4),No,No,No (2/17),2
2007WOOR01,Riley Woo,USA,Yes,Yes,No (2/4),No,No,No (7/17),2
2007YOUN04,Koh Youngjin (고영진),Korea,Yes,Yes,No (2/4),No,No,No (1/17),2
2008COUR01,François Courtès,France,Yes,Yes,No (1/4),No,No,No (8/17),2
2008LEEF01,Felix Lee,USA,Yes,Yes,No (2/4),No,No,No (2/17),2
2008MAND01,Nikhil Mande,India,Yes,Yes,No (2/4),No,No,No (8/17),2
2008OLLE01,Alexander Olleta del Molino,Spain,Yes,Yes,No (2/4),No,No,No (15/17),2
2008OMYO01,Sanae Yamashita (山下佐苗),Japan,Yes,Yes,No (1/4),No,No,No (1/17),2
2008SAMP01,Bradley Sampson,USA,Yes,Yes,No (3/4),No,No,No (5/17),2
2008UENO01,Shuto Ueno (上野柊斗),Japan,Yes,Yes,No (3/4),No,No,No (7/17),2
2008YOUN02,Michael Young,USA,Yes,Yes,No (2/4),No,No,No (14/17),2
2008ZHON01,Qirun Zhong (钟奇润),China,Yes,Yes,No (2/4),No,No,No (2/17),2
2009BAKK01,Ivo Bakker,Netherlands,Yes,Yes,No (2/4),No,No,No (6/17),2
2009COLO03,Matteo Colombo,Italy,Yes,Yes,No (2/4),No,No,No (5/17),2
2009SHEE01,Matthew Sheerin,United Kingdom,Yes,Yes,No (2/4),No,No,No (4/17),2
2009SIEW02,Eason Siew Ee Son (蕭奕晨),Malaysia,Yes,Yes,No (3/4),No,No,No (4/17),2
2009WHIT01,Ben Whitmore,United Kingdom,Yes,Yes,No (3/4),No,No,No (2/17),2
2009XUAN03,Yan Xuan (宣炎),China,Yes,Yes,No (2/4),No,No,No (6/17),2
2009YANG31,Chung Tze Yang (鍾志扬),Malaysia,Yes,Yes,No (2/4),No,No,No (2/17),2
2009ZHAN24,Junhe Zhang (张钧鹤),China,Yes,Yes,No (2/4),No,No,No (1/17),2
2010AMBR01,Jacob Ambrose,USA,Yes,Yes,No (3/4),No,No,No (8/17),2
2010COOK01,Taylor Cookmeyer,USA,Yes,Yes,No (2/4),No,No,No (2/17),2
2010HONG01,Chi-Lun Hung (洪啟倫),Taiwan,Yes,Yes,No (2/4),No,No,No (5/17),2
2010MAOC01,Can Mao (毛灿),China,Yes,Yes,No (1/4),No,No,No (0/17),2
2010MATT02,Kevin Matthews,Canada,Yes,Yes,No (3/4),No,No,No (7/17),2
2010POSN02,Jacob Posner,USA,Yes,Yes,No (2/4),No,No,No (5/17),2
2010SHIX01,Xin Shi (石欣),China,Yes,Yes,No (3/4),No,No,No (4/17),2
2010SUGA01,Sei Sugama (洲鎌星),Japan,Yes,Yes,No (2/4),No,No,No (9/17),2
2010WANG53,Jiayu Wang (王佳宇),China,Yes,Yes,No (2/4),No,No,No (6/17),2
2010WUJI01,Jiawen Wu (吴嘉文),China,Yes,Yes,No (3/4),No,No,No (4/17),2
2010YAMA04,Yuki Yamamoto (山本祐輝),Japan,Yes,Yes,No (3/4),No,No,No (4/17),2
2011ALVI01,Wilson Alvis (陈智胜),Indonesia,Yes,Yes,No (2/4),No,No,No (10/17),2
2011CHAP01,José Leonardo Chaparro Prieto,Colombia,Yes,Yes,No (2/4),No,No,No (14/17),2
2011CHEC01,Maxim Chechnev,Russia,Yes,Yes,No (3/4),No,No,No (5/17),2
2011HAMI01,Ahsanul Insan Hamid,Indonesia,Yes,Yes,No (2/4),No,No,No (4/17),2
2011KERN02,Patrick Kern,Germany,Yes,Yes,No (1/4),No,No,No (1/17),2
2011KOGL01,Jakob Kogler,Austria,Yes,Yes,No (2/4),No,No,No (6/17),2
2011LING02,Rodson Lingad,Philippines,Yes,Yes,No (3/4),No,No,No (5/17),2
2011LOHR01,Fritz Löhr,Germany,Yes,Yes,No (2/4),No,No,No (3/17),2
2011MIKE01,Brandon Mikel,USA,Yes,Yes,No (3/4),No,No,No (5/17),2
2011MOLL01,James Molloy,United Kingdom,Yes,Yes,No (2/4),No,No,No (8/17),2
2011QUEJ01,Jianyu Que (阙剑宇),China,Yes,Yes,No (2/4),No,No,No (2/17),2
2011REED01,Austin Reed,USA,Yes,Yes,No (1/4),No,No,No (9/17),2
2011SAKO01,Corey Sakowski,USA,Yes,Yes,No (3/4),No,No,No (8/17),2
2011YUBE01,Ben Yu,USA,Yes,Yes,No (2/4),No,No,No (7/17),2
2011ZHAN24,Chunyu Zhang (张春雨),China,Yes,Yes,No (2/4),No,No,No (10/17),2
2012ACHA01,Carlos Pedro Casado de Achával,Argentina,Yes,Yes,No (3/4),No,No,No (8/17),2
2012BILL01,Gregor Billing,Germany,Yes,Yes,No (2/4),No,No,No (4/17),2
2012GOOD02,Callum James Goodyear,United Kingdom,Yes,Yes,No (3/4),No,No,No (7/17),2
2012GRAY01,Enoch Gray,USA,Yes,Yes,No (3/4),No,No,No (5/17),2
2012HAMA03,Brock Hamann,Australia,Yes,Yes,No (0/4),No,No,No (5/17),2
2012LAHL01,Fabian Löhle,Switzerland,Yes,Yes,No (2/4),No,No,No (4/17),2
2012MORM01,Serhii Mormul (Сергій Мормуль),Ukraine,Yes,Yes,No (2/4),No,No,No (4/17),2
2012NICO02,Alessandro Nicolì,Italy,Yes,Yes,No (2/4),No,No,No (7/17),2
2012POHL01,Andreas Pohl,Germany,Yes,Yes,No (3/4),No,No,No (6/17),2
2012RUPE01,Akash Rupela,India,Yes,Yes,No (2/4),No,No,No (15/17),2
2012SEVE01,Ainesh Sevellaraja,Malaysia,Yes,Yes,No (2/4),No,No,No (15/17),2
2012SUNL03,Liudi Sun (孙柳笛),China,Yes,Yes,No (1/4),No,No,No (1/17),2
2012WERB01,Sebastian Werb,Germany,Yes,Yes,No (1/4),No,No,No (7/17),2
2012YIND01,Dongyun Yin (殷冬昀),China,Yes,Yes,No (2/4),No,No,No (0/17),2
2012ZABR01,Ivan Zabrodin,Russia,Yes,Yes,No (2/4),No,No,No (16/17),2
2013BROW04,Evan Brown,USA,Yes,Yes,No (2/4),No,No,No (6/17),2
2013CABR01,Christopher Cabrera,USA,Yes,Yes,No (2/4),No,No,No (0/17),2
2013CONA01,Michael Conard,USA,Yes,Yes,No (3/4),No,No,No (0/17),2
2013CRON01,Conor Cronin,South Africa,Yes,Yes,No (2/4),No,No,No (4/17),2
2013DIPI01,Guido Dipietro,Argentina,Yes,Yes,No (3/4),No,No,No (9/17),2
2013EGDA01,Daniel Vædele Egdal,Denmark,Yes,Yes,No (2/4),No,No,No (9/17),2
2013FRON01,Martin Fronescu,Romania,Yes,Yes,No (2/4),No,No,No (15/17),2
2013GHOD01,Abhijeet Ghodgaonkar,India,Yes,Yes,No (3/4),No,No,No (10/17),2
2013GOOD01,Daniel Goodman,USA,Yes,Yes,No (3/4),No,No,No (4/17),2
2013KOBA01,Tomohiro Kobayashi (小林知広),Japan,Yes,Yes,No (2/4),No,No,No (5/17),2
2013LANG03,Mason Langenderfer,USA,Yes,Yes,No (3/4),No,No,No (6/17),2
2013LOYK01,Nikita Loika,Belarus,Yes,Yes,No (2/4),No,No,No (8/17),2
2013MINT01,Deni Mintsaev (Дени Минцаев),Russia,Yes,Yes,No (2/4),No,No,No (3/17),2
2013MUAT01,Matěj Mužátko,Czech Republic,Yes,Yes,No (2/4),No,No,No (6/17),2
2013SANT13,Sergio Torrijos Santano,Spain,Yes,Yes,No (3/4),No,No,No (3/17),2
2013TANG07,Feilong Tang (唐飞龙),China,Yes,Yes,No (2/4),No,No,No (1/17),2
2013TITO02,Georgiy Titov (Георгій Тітов),Ukraine,Yes,Yes,No (2/4),No,No,No (4/17),2
2013VASI02,Vasile Dan,Romania,Yes,Yes,No (1/4),No,No,No (6/17),2
2013WEAV01,Sydney Weaver,USA,Yes,Yes,No (0/4),No,No,No (5/17),2
2014BILG01,Jason Bilgrei,USA,Yes,Yes,No (2/4),No,No,No (4/17),2
2014BULU01,Sergio Bulux,Guatemala,Yes,Yes,No (1/4),No,No,No (6/17),2
2014CAIJ02,Jack Cai,Australia,Yes,No (10/12),No (3/4),No,Yes,No (6/17),2
2014DAYM01,Max Day,United Kingdom,Yes,Yes,No (1/4),No,No,No (0/17),2
2014ENDO01,Jolo Endona,Philippines,Yes,Yes,No (2/4),No,No,No (7/17),2
2014ESWA01,Karthikeyan Eswaran,India,Yes,Yes,No (2/4),No,No,No (2/17),2
2014FRIT02,Oliver Fritz,Germany,Yes,Yes,No (3/4),No,No,No (14/17),2
2014GLYR01,Victor Glyrskov,Denmark,Yes,Yes,No (2/4),No,No,No (4/17),2
2014GOSL01,Raymond Goslow,USA,Yes,Yes,No (3/4),No,No,No (16/17),2
2014IRIA01,Julen Simón Iriarte,Spain,Yes,Yes,No (2/4),No,No,No (9/17),2
2014JOYO01,Yong Hyeon Jo (조용현),Korea,Yes,Yes,No (2/4),No,No,No (2/17),2
2014KIMJ02,Jungwoo Kim (김정우),Korea,Yes,Yes,No (3/4),No,No,No (2/17),2
2014LEZA02,Bruno Lezama,Uruguay,Yes,Yes,No (2/4),No,No,No (9/17),2
2014LONG06,Bertie Longden,United Kingdom,Yes,Yes,No (2/4),No,No,No (2/17),2
2014MAUR06,Lorenzo Mauro,Italy,Yes,Yes,No (2/4),No,No,No (13/17),2
2014MODA01,Shantanu Modak,Singapore,Yes,Yes,No (2/4),No,No,No (5/17),2
2014NIET03,Oscar Nieto,Colombia,Yes,Yes,No (2/4),No,No,No (15/17),2
2014NUNE05,Rodrigo Pueblas Núñez,Spain,Yes,Yes,No (2/4),No,No,No (5/17),2
2014OHLE01,Simone Ohler,Germany,Yes,Yes,No (3/4),No,No,No (2/17),2
2014PRID01,Ethan Pride,Australia,Yes,Yes,No (2/4),No,No,No (12/17),2
2014RENW01,William Gan Wei Ren (颜伟仁),Malaysia,Yes,Yes,No (3/4),No,No,No (2/17),2
2014SCHW02,Fabio Schwandt,United Kingdom,Yes,Yes,No (2/4),No,No,No (12/17),2
2014SONG08,Zian Song (宋子安),China,Yes,Yes,No (2/4),No,No,No (3/17),2
2014TANA01,Takayuki Tanaka (田中隆喜),Japan,Yes,Yes,No (3/4),No,No,No (2/17),2
2014TAOW01,William Tao,Australia,Yes,Yes,No (1/4),No,No,No (1/17),2
2014WILD03,Damian Wilding,USA,Yes,Yes,No (2/4),No,No,No (5/17),2
2014ZARA01,Rodrigo Zarate,Peru,Yes,Yes,No (2/4),No,No,No (6/17),2
2014ZHAN11,Yunke Zhang (张云柯),China,Yes,Yes,No (2/4),No,No,No (6/17),2
2015ARYA03,Aniketh Arya,India,Yes,Yes,No (3/4),No,No,No (6/17),2
2015BELO03,Will Belote,USA,Yes,Yes,No (1/4),No,No,No (4/17),2
